scheme_code,scheme_name,Risk
101264, NIPPON INDIA POWER & INFRA FUND - IDCW Option,Low to Moderate
101265, Principal Hybrid Equity Fund-Growth,Low to Moderate
101266, Principal Hybrid Equity Fund- Monthly Income Distribution CUM Capital Withdrawal,Low to Moderate
101281, HDFC Index Fund-Sensex Plan - Growth Plan,Low to Moderate
101282, HDFC Index Fund-Sensex Plus( FV-Rs32.161),Low to Moderate
101295, SBI Magnum Equity ESG Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
101313, Aditya Birla Sun Life Index Fund -REGULAR - IDCW,Low to Moderate
101314, Aditya Birla Sun Life Index Fund - Growth - Regular Plan,Low to Moderate
101316, Aditya Birla Sun Life Savings Fund-Retail Growth,Low to Moderate
101317, Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,Low to Moderate
101349, ICICI Prudential Nifty Index Fund -  Cumulative Option,Low to Moderate
101350, ICICI Prudential All Seasons Bond Fund Retail - Cumulative,Low to Moderate
101351, ICICI Prudential All Seasons Bond Fund - Weekly IDCW,Low to Moderate
101356, Franklin India Savings Fund Retail Option - Quarterly - IDCW,Low to Moderate
101357, Franklin India Savings Fund - Growth Option,Low to Moderate
101358, Franklin India Savings Fund - Institutional Option - Growth,Low to Moderate
101359, Franklin India Savings Fund - Institutional Option - Dividend,Low to Moderate
101465, Principal Short Term Debt Fund- Growth Plan,Low to Moderate
101466, Principal Short Term Debt Fund - Income Distribution CUM Capital Withdrawal Option - Monthly,Low to Moderate
101481, HDFC Floating Rate Debt Fund - Retail Growth Option,Low to Moderate
101482, HDFC Floating Rate Debt Fund - Retail Weekly Div Option,Low to Moderate
101483, HDFC Floating Rate Debt Fund - Retail Daily Div Option,Low to Moderate
101484, HDFC Floating Rate Debt Fund - Retail Monthly Div option,Low to Moderate
101498, Principal Equity Savings Fund - Growth Option,Low to Moderate
101499, Principal Equity Savings Fund - Half Yearly Income Distribution CUM Capital Withdrawal,Low to Moderate
101500, Principal Equity Savings Fund -Quaterly Income Distribution CUM Capital Withdrawal,Low to Moderate
101519, JM Short Term Fund - Regular Plan - Dividend Option,Low to Moderate
101520, JM Short Term Fund - Regular Plan - Growth Option,Low to Moderate
101521, JM Short Term Fund - Growth Option,Low to Moderate
101524, JM Short Term Fund - Dividend Option,Low to Moderate
101525, HDFC Index Fund-NIFTY 50 Plan - Growth Plan,Low to Moderate
101530, SBI Large & Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
101547, Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option,Low to Moderate
101548, Tata Short Term Bond Fund -Regular Plan- Growth Option,Low to Moderate
101549, JM Liquid Fund (Regular) - Bonus Option - Principal Units,Low to Moderate
101551, SBI Equity Hybrid Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),Low to Moderate
101585, HDFC Equity Savings Fund - GROWTH PLAN,Low to Moderate
101586, HDFC Equity Savings Fund - IDCW PLAN,Low to Moderate
101591, Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,Low to Moderate
101592, Aditya Birla Sun Life MIDCAP Fund-Growth,Low to Moderate
101593, HSBC Large cap Equity Fund - IDCW,Low to Moderate
101594, HSBC Large Cap Equity Fund - Growth,Low to Moderate
101599, HSBC Short Duration Fund - Growth,Low to Moderate
101600, HSBC Short Duration Fund - Monthly IDCW,Low to Moderate
101605, Tata Medium Term Fund- Regular Plan - Payout of IDCW option,Low to Moderate
101609, TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option,Low to Moderate
101617, ICICI Prudential Savings Fund - Weekly IDCW,Low to Moderate
101618, ICICI Prudential Savings Fund - Daily IDCW,Low to Moderate
101619, ICICI Prudential Savings Fund - Growth,Low to Moderate
101642, ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly,Low to Moderate
101643, ICICI Prudential Long Term Bond Fund-Institutional Option-Growth,Low to Moderate
101656, Franklin India Dynamic Asset Allocation Fund of Funds-Growth,Low to Moderate
101657, Franklin India Dynamic Asset Allocation Fund of funds - IDCW ,Low to Moderate
101659, Tata Index Fund - Nifty-Regular Plan,Low to Moderate
101665, Nippon India Short Term Fund-Growth Plan,Low to Moderate
101667, NIPPON INDIA SHORT TERM FUND - MONTHLY IDCW Option,Low to Moderate
101669, NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION,Low to Moderate
101672, Tata Equity P/E Fund - Regular Plan -Growth Option,Low to Moderate
101685, HSBC Debt Fund - Growth,Low to Moderate
101686, HSBC Debt Fund - Quarterly IDCW,Low to Moderate
101691, HSBC Cash Fund - Inst. - Growth,Low to Moderate
101694, HSBC Cash Fund - Inst. - Dividend - Monthly,Low to Moderate
101696, HSBC Cash Fund - Regular - Growth,Low to Moderate
101699, HSBC Cash Fund - Growth,Low to Moderate
101702, HSBC Cash Fund - Dividend - Monthly,Low to Moderate
101703, Tata Medium Term Fund -Regular Plan - Growth Option,Low to Moderate
101705, ICICI Prudential Sensex ETF,Low to Moderate
101706, ICICI Prudential Multicap Fund - IDCW,Low to Moderate
101714, Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option,Low to Moderate
101737, Aditya Birla Sun Life Dividend Yield Fund -REGULAR - IDCW,Low to Moderate
101738, Aditya Birla Sun Life Dividend Yield Fund - Growth - Regular Plan,Low to Moderate
101746, Tata Index Fund - Sensex-Regular Plan,Low to Moderate
101748, ICICI Prudential Liquid Fund - Institutional - Daily - Div,Low to Moderate
101750, ICICI Prudential Liquid Fund Retail Growth,Low to Moderate
101751, ICICI Prudential Liquid Institutional Fund - Growth,Low to Moderate
101752, ICICI Prudential Liquid Fund Retail Weekly Dividend,Low to Moderate
101753, ICICI Prudential Liquid Fund - Institutional - Weekly - Div,Low to Moderate
101754, ICICI Prudential Liquid Fund Retail Daily Dividend,Low to Moderate
101755, ICICI Prudential Liquid Fund Retail Monthly Dividend,Low to Moderate
101758, ICICI Prudential Short Term Fund - Growth Option,Low to Moderate
101759, ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly,Low to Moderate
101762, HDFC Flexi Cap Fund - Growth Plan,Low to Moderate
