scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
142707, HDFC FMP 1150D March 2018 (1) - Quarterly IDCW Option,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
142708, HDFC FMP 1150D March 2018 (1) - Growth Option - Direct Plan,nan,10.00180,Income,,Close Ended Schemes,HDFC Mutual Fund
142710, Franklin India Fixed Maturity Plans - Series 3 - Plan C 1132 days - QTR Direct - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142711, Franklin India Fixed Maturity Plans- Series 3- Plan C (1132 days)- Growth-Direct,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142712, Franklin India Fixed Maturity Plans - Series 3 - Plan C 1132 days - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142713, Franklin India Fixed Maturity Plans - Series 3 - Plan C 1132 days - Direct - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142714, Franklin India Fixed Maturity Plans- Series 3- Plan C (1132 days)- Growth,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142715, Franklin India Fixed Maturity Plans - Series 3 - Plan C 1132 days -QTR - IDCW ,nan,10.00000,Income,,Close Ended Schemes,Franklin Templeton Mutual Fund
142725, HDFC FMP 1208D March 2018 (1) - IDCW Option - Direct Plan,nan,10.00840,Income,,Close Ended Schemes,HDFC Mutual Fund
142726, HDFC FMP 1208D March 2018 (1) - Growth Option - Direct Plan,nan,10.00840,Income,,Close Ended Schemes,HDFC Mutual Fund
142727, HDFC FMP 1208D March 2018 (1) - Growth Option,nan,10.00830,Income,,Close Ended Schemes,HDFC Mutual Fund
142728, HDFC FMP 1208D March 2018 (1) - Quarterly IDCW Option,nan,10.00830,Income,,Close Ended Schemes,HDFC Mutual Fund
142729, HDFC FMP 1208D March 2018 (1) - Quarterly IDCW Option - Direct Plan,nan,10.00840,Income,,Close Ended Schemes,HDFC Mutual Fund
142730, HDFC FMP 1208D March 2018 (1) - IDCW Option,nan,10.00830,Income,,Close Ended Schemes,HDFC Mutual Fund
142731, IDFC Fixed Term Plan Series 142 Regular Plan-Growth (1139 Days),nan,10.00810,Income,,Close Ended Schemes,IDFC Mutual Fund
142732, IDFC Fixed Term Plan Series 142 Regular Plan-Periodic-IDCW (1139 Days),nan,10.00810,Income,,Close Ended Schemes,IDFC Mutual Fund
142733, IDFC Fixed Term Plan Series 142 Direct Plan -Halfyearly-IDCW (1139 Days),nan,10.00820,Income,,Close Ended Schemes,IDFC Mutual Fund
142735, IDFC Fixed Term Plan Series 142 Regular Plan-Quarterly-IDCW (1139 Days),nan,10.00810,Income,,Close Ended Schemes,IDFC Mutual Fund
142736, IDFC Fixed Term Plan Series 142 Regular Plan-Halfyerarly-IDCW (1139 Days),nan,10.00810,Income,,Close Ended Schemes,IDFC Mutual Fund
142737, IDFC Fixed Term Plan Series 142 Direct Plan -Growth (1139 Days),nan,10.00820,Income,,Close Ended Schemes,IDFC Mutual Fund
142739, HSBC Fixed Term Series 132 - Growth Option,nan,10.03840,Income,,Close Ended Schemes,HSBC Mutual Fund
142740, HSBC Fixed Term Series 132 - Direct Plan Growth Option,nan,10.03870,Income,,Close Ended Schemes,HSBC Mutual Fund
142741, HSBC FTS 132 - IDCW - Tenure 1149 Days - Maturity,nan,10.03840,Income,,Close Ended Schemes,HSBC Mutual Fund
142742, HSBC FTS 132 - IDCW Direct Plan-Tenure 1149 Days-Maturity,nan,10.03870,Income,,Close Ended Schemes,HSBC Mutual Fund
142759, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Half Yearly IDCW Option,nan,10.05390,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142760, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Cumulative Option,nan,10.05390,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142761, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Quarterly IDCW Option,nan,10.05990,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142762, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Cumulative Option,nan,10.05980,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142763, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Quarterly IDCW Option,nan,10.05390,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142764, ICICI Prudential Fixed Maturity Plan - Series 82 - 1136 Days Plan P - Direct Plan Half Yearly IDCW Option,nan,10.05980,Income,,Close Ended Schemes,ICICI Prudential Mutual Fund
142765, Kotak FMP Series 219-Regular Plan-Payout of Income Distribution cum capital withdrawal Option,nan,10.01490,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142766, Kotka FMP Series 219-Direct Plan-Growth Option,nan,10.01550,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142767, Kotak FMP Series 219-Regular Plan-Growth Option,nan,10.01490,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142768, Kotak FMP Series 219-Direct Plan-Payout of Income Distribution cum capital withdrawal Option,nan,10.01550,IDF,,IL&FS Mutual Fund,Kotak Mahindra Mutual Fund
142769, HDFC FMP 1143D March 2018 (1) - IDCW Option - Direct Plan,nan,10.00200,Income,,Close Ended Schemes,HDFC Mutual Fund
142770, HDFC FMP 1143D March 2018 (1) - IDCW Option,nan,10.00190,Income,,Close Ended Schemes,HDFC Mutual Fund
142771, HDFC FMP 1143D March 2018 (1) - Growth Option - Direct Plan,nan,10.00200,Income,,Close Ended Schemes,HDFC Mutual Fund
142772, HDFC FMP 1143D March 2018 (1) - Growth Option,nan,10.00190,Income,,Close Ended Schemes,HDFC Mutual Fund
142774, HDFC FMP 1143D March 2018 (1) - Quarterly IDCW Option,nan,10.00190,Income,,Close Ended Schemes,HDFC Mutual Fund
142789, UTI FTIF Series XXVIII-XI (1161 Days) - Direct Plan - Growth Option,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142790, UTI FTIF SERIES XXVIII - PLAN XI (1161 DAYS) - Direct Plan - Annual IDCW,nan,10.01160,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142792, UTI FTIF SERIES XXVIII - PLAN XI (1161 DAYS) - Regular Plan - Maturity IDCW,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
142794, UTI FTIF Series XXVIII-XI (1161 Days) - Regular Plan - Growth Option,nan,10.01150,IDF,,IL&FS Mutual Fund,UTI Mutual Fund
